OBJECTID,id,x,y
363,363,0.795151827216013,51.260246911498598
364,364,0.938295667366403,51.256738880059800
365,365,1.081409972132560,51.253056040477198
366,366,1.224493314511780,51.249198479377398
367,367,1.367544269454790,51.245166287460101
368,368,-3.508712295837460,51.373837114841898
369,369,-3.365071521774560,51.375598822058798
370,370,-3.221416918839840,51.377184477466898
371,371,-2.934072040346500,51.379827486868599
372,372,-2.790384673664980,51.380884778278897
373,373,-2.646689295680520,51.381765892719301
374,374,-2.502987362295920,51.382470809319798
375,375,-2.359280329832540,51.382999511382600
376,376,-2.215569654937380,51.383351986382998
377,377,-2.071856794490090,51.383528225970899
378,378,-1.928143205509910,51.383528225970899
379,379,-1.784430345062620,51.383351986382998
380,380,-1.640719670167460,51.382999511382600
381,381,-1.497012637704080,51.382470809319798
382,382,-1.353310704319480,51.381765892719301
383,383,-1.209615326335020,51.380884778278897
384,384,-1.065927959653500,51.379827486868599
385,385,-0.922250059666199,51.378594043528402
386,386,-0.778583081160162,51.377184477466898
387,387,-0.634928478225443,51.375598822058798
388,388,-0.491287704162540,51.373837114841898
389,389,-0.347662211389923,51.371899397514703
390,390,-0.204053451351726,51.369785715932601
391,391,-0.060462874425579,51.367496120104597
392,392,0.083108070169376,51.365030664189000
393,393,0.226657934464283,51.362389406489498
394,394,0.370185271832171,51.359572409450301
395,395,0.513688637079328,51.356579739651103
396,396,0.657166586536448,51.353411467801898
397,397,0.800617678149525,51.350067668737601
398,398,0.944040471570489,51.346548421411498
399,399,1.087433528247560,51.342853808889600
400,400,1.230795411515300,51.338983918343502
401,401,1.374124686684390,51.334938841043801
403,403,-3.655582663519540,51.461788242717802
404,404,-3.511675391832850,51.463732166298797
405,405,-3.367752734167610,51.465499516489103
406,406,-3.223816152878260,51.467090251326397
409,409,-2.791937503633310,51.470802406914800
410,410,-2.647959867834380,51.471686344493897
411,411,-2.503975631695650,51.472393519763997
412,412,-2.359986261519990,51.472923915921498
413,413,-2.215993223939740,51.473277520362601
414,414,-2.071997985822580,51.473454324683999
415,415,-1.928002014177420,51.473454324683999
416,416,-1.784006776060260,51.473277520362601
417,417,-1.640013738480010,51.472923915921498
418,418,-1.496024368304350,51.472393519763997
419,419,-1.352040132165620,51.471686344493897
420,420,-1.208062496366690,51.470802406914800
421,421,-1.064092926786980,51.469741728028900
422,422,-0.920132888788449,51.468504333035000
423,423,-0.776183847121743,51.467090251326397
424,424,-0.632247265832391,51.465499516489103
425,425,-0.488324608167149,51.463732166298797
426,426,-0.344417336480459,51.461788242717802
427,427,-0.200526912141056,51.459667791891597
428,428,-0.056654795438739,51.457370864145702
429,429,0.087197554508690,51.454897513981102
430,430,0.231028679848286,51.452247800069998
431,431,0.374837124084625,51.449421785251502
432,432,0.518621432172234,51.446419536526200
433,433,0.662380150607798,51.443241125050797
434,434,0.806111827522101,51.439886626132903
437,437,-4.235422106551090,51.542104546100703
438,438,-4.091308263660740,51.544762749329998
441,441,-3.658844385945510,51.551675559635697
442,442,-3.514653873963020,51.553625713792698
443,443,-3.370447870327530,51.555398729075499
444,444,-3.226227847422900,51.556994563255600
445,445,-3.081995278535720,51.558413178317601
446,446,-2.937751637760720,51.559654540462397
447,447,-2.793498399905960,51.560718620110002
448,448,-2.649237040398010,51.561605391901601
449,449,-2.504969035186910,51.562314834701901
450,450,-2.360695860651150,51.562846931600397
